INP_NodeID,MTX_NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_Reference,Pressure_Error,Pressure_RelativeError,U1_Reconstructed,U2_Reconstructed,U3_Reconstructed,EquivalentForceX,EquivalentForceY,EquivalentForceZ
44,41,14.059468711656,1.3213382053299,9.3228367104515,0.0616705552503091,0.359197092603266,0.931221880799887,4.82260031130188,-0.0275357299617296,NaN,NaN,NaN,0.0237521151454904,-0.101890623833469,-0.0969848682612007,0.00818946860613979,0.0476991540185036,0.123660510712248
45,42,14.055859827227,1.3082343524453,-9.396771506921,0.06199557305639,0.360543510494657,-0.930679819251282,4.78003702673387,-0.0275357299617296,NaN,NaN,NaN,0.0250777773666451,-0.121180787619316,0.128669943429383,0.00815996946173788,0.0474553889934715,-0.122497761200442
46,43,12.438589825994,-2.454488555049,-9.862116025511,0.0100265018887188,-0.0531067033686556,-0.998538505675765,4.64039799141351,-0.0275357299617296,NaN,NaN,NaN,0.00969239032382809,-0.063152580192486,-0.647366719969476,0.00128115378516866,-0.00678580174758003,-0.127590001017457
47,44,18.851618670862,1.7551139607917,8.9401954001253,0.0146232212466463,0.520499713141239,0.853736616305204,4.44800144005425,-0.0275357299617296,NaN,NaN,NaN,0.0464151948930226,-0.0593409206573094,-0.0265471722978396,0.00179103702552229,0.0637502669409102,0.104564778447664
48,45,21.422384684284,1.5261818649078,8.9113734708596,0.131797097783684,0.354279158222976,0.9258054887851,5.34264989114011,-0.0275357299617296,NaN,NaN,NaN,0.0761546938303565,-0.0562430701369573,-0.0244013799771139,0.019389167229185,0.0521193407147284,0.136198730818896
49,46,18.758591711762,1.6180512367974,-9.08544869941,0.0137126887816736,0.489384371477264,-0.871960377035666,4.93755769860314,-0.0275357299617296,NaN,NaN,NaN,0.0476585549049149,-0.0891088328339484,0.065558360401188,0.0018643669571,0.0665363347794148,-0.118551083651688
50,47,21.372984584044,1.6879999910574,-8.917118887271,0.117165492302901,0.392368598904276,-0.912315258015185,4.98205560033036,-0.0275357299617296,NaN,NaN,NaN,0.0658577407084917,-0.0492603909259408,0.0168891180652884,0.0160732938918679,0.0538269048349546,-0.125155546875556
51,48,23.992312649158,1.3807503514847,-8.516404667641,0.29265689094387,0.186316199080459,-0.937890301764166,5.63828802657755,-0.0275357299617296,NaN,NaN,NaN,0.0992602427954735,-0.0409147930894824,-0.00656983961258641,0.0454362631454668,0.0289264053287116,-0.14561157406921
52,49,26.376736019175,1.0990085341073,-7.570497333826,0.477549250510671,0.0479699566005668,-0.87729447541885,5.19309636066779,-0.0275357299617296,NaN,NaN,NaN,0.141805053537394,-0.0439750518327831,-0.0144849451847459,0.0682874889088133,0.0068594974776204,-0.125449336787493
53,50,23.975904377591,1.2183761995184,8.4837637315993,0.292114325761228,0.160132083446494,0.942882249560436,6.15806127980303,-0.0275357299617296,NaN,NaN,NaN,0.103275821037338,-0.0353739581723728,0.0266527624279412,0.0495328658901083,0.0271530709539463,0.159881443321667
54,51,26.347576404538,1.0982992856336,7.5175564131394,0.478922718250623,0.0479377449736091,0.876547204975454,5.21296954422572,-0.0275357299617296,NaN,NaN,NaN,0.144966588734629,-0.0452993780532241,0.0121035357261393,0.0687459662311238,0.00688112397171226,0.125822146782552
55,52,28.449492663278,1.0535224072735,5.8683790891648,0.747346793660728,-0.0889787208520862,0.658449358144236,5.11249638788355,-0.0275357299617296,NaN,NaN,NaN,0.236901127484448,-0.0525244377546056,-0.0325355551485383,0.105208731350753,-0.0125260968769347,0.0926940775242309
56,53,29.716627269057,0.9354070463398,3.5364952600241,0.928398550637547,-0.172889963339152,0.328915174096131,5.19182106923655,-0.0275357299617296,NaN,NaN,NaN,0.462529164770347,-0.0203913518628482,-0.0755942000248423,0.132724398029611,-0.0247164499489929,0.0470219050371577
57,54,30.192489259972,0.8883863297416,1.1795539098071,0.971908567762366,-0.205725088864309,0.114328140551125,5.11278640999887,-0.0275357299617296,NaN,NaN,NaN,0.686720504911765,0.0380797126653289,-0.0446387487081963,0.136829473147358,-0.0289628638497395,0.0160956079166414
58,55,30.194631195056,0.8706002466747,-1.158335915549,0.971657351654013,-0.209462796671297,-0.109577953016786,5.31637055842523,-0.0275357299617296,NaN,NaN,NaN,0.692452673085112,0.0407409898855871,0.0418372175764002,0.142241059698499,-0.0306632889827047,-0.0160411323293831
59,56,29.702732326291,0.878938134692,-3.609757052917,0.929186691572263,-0.173335728278288,-0.326445734398884,5.2737470005155,-0.0275357299617296,NaN,NaN,NaN,0.464279015840438,-0.0191984180285572,0.0752352155119331,0.134933214380614,-0.0251712031561906,-0.0474052982708437
60,57,28.429237337565,0.9832995737268,-5.947092336547,0.748298561607764,-0.0893295796891921,-0.657319928868966,5.08222444268862,-0.0275357299617296,NaN,NaN,NaN,0.239085496491825,-0.0515979986823446,0.0308870434028957,0.104718965909743,-0.01250102791873,-0.0919871649560972
61,58,12.13266880369,-7.165499830721,-8.481577914303,0.0510347131686908,-0.478870331454015,-0.87640097198994,4.83780377226723,-0.0275357299617296,NaN,NaN,NaN,0.0180221586732423,-0.147816267648694,-0.257447663374891,0.00679845959886636,-0.0637914940508204,-0.116747527918626
62,59,12.243619942528,-10.67684835374,-4.842202747855,0.149587687258714,-0.870905213833594,-0.468132067196908,5.39872786521705,-0.0275357299617296,NaN,NaN,NaN,0.0241252882011197,-0.201899390700609,-0.089965093577081,0.0222373933435505,-0.129466951190118,-0.069591535946289
63,60,12.212518550223,-11.64363503317,0.135745028481,0.161145113278116,-0.986918885180791,0.00483389491908699,4.9480022423919,-0.0275357299617296,NaN,NaN,NaN,-0.0759589819478879,-0.809956892341795,0.00217614350811391,0.0219555146566007,-0.134464592860884,0.000658602973341884
64,61,12.131919288536,-10.6596791613,4.8401141616669,0.143443188474077,-0.867598078326988,0.476127741434699,5.03368965100089,-0.0275357299617296,NaN,NaN,NaN,0.0218227186816362,-0.182004316550902,0.0827859295892883,0.0198821323315681,-0.120254575957288,0.0659943135860099
65,62,12.373636072295,-7.169680078251,8.3950244927024,0.0569320570524998,-0.470063374875497,0.880794621055572,5.43597345739681,-0.0275357299617296,NaN,NaN,NaN,0.0241028544862448,-0.139728366661551,0.238972934965776,0.00852178940252242,-0.0703607298579429,0.131840419196315
66,63,12.655199310326,-2.583044891673,9.7825068403003,0.0322003907708104,-0.0814465218591495,0.996157416732543,6.05657730934774,-0.0275357299617296,NaN,NaN,NaN,0.00321324138861355,-0.0839568645203164,0.756048010289067,0.00537013249823567,-0.0135830219271924,0.166131440920377
67,64,15.036984756556,-1.05116158228,9.7760058510646,0.0399723621822414,0.0165776111394669,0.999063257792258,7.38173854426974,-0.0275357299617296,NaN,NaN,NaN,0.0209854249886743,-0.0550987557120242,0.463155910161108,0.00812484466219351,0.00336959108807075,0.203071155521385
68,65,22.346387928092,-1.030573575768,8.9387662447648,0.207360460970268,-0.14702145500428,0.967153726661187,6.67000555860191,-0.0275357299617296,NaN,NaN,NaN,0.115421878637572,-0.0877968166317425,0.184058074495261,0.0380845421975993,-0.0270024708705957,0.177630811304354
69,66,29.634223044863,-1.136970202674,0.1108557545891,0.922999008385416,-0.384668433179886,0.0101502233704295,3.89899867268547,-0.0275357299617296,NaN,NaN,NaN,0.706419422759703,0.00578837029139349,-0.00353900112659578,0.0990948114686476,-0.0412986856081037,0.00108974599335362
70,67,22.551872663235,-0.41636486513,-9.03202352952,0.27688236868595,-0.0548584270553075,-0.959336597285789,5.30484996090674,-0.0275357299617296,NaN,NaN,NaN,0.111046328894154,-0.0676483066192406,-0.124842832673893,0.0404450149859949,-0.00801333040774658,-0.140133094201624
71,68,17.466433263982,-0.547802923867,-9.754169665486,0.0603815388872303,0.0794205535464696,-0.995010776542637,4.81772065688035,-0.0275357299617296,NaN,NaN,NaN,0.0476127114225327,-0.0687154123420087,-0.2064328266414,0.00801018204319034,0.0105358873523627,-0.131997587373983
72,69,14.852455401088,-1.038265348671,-9.846469979604,0.0206976775104476,0.0546119939005128,-0.998293111399595,5.92079726621437,-0.0275357299617296,NaN,NaN,NaN,0.0241485322273235,-0.0539125557343684,-0.544668512143491,0.00337441428234731,0.00890358312483774,-0.162755194701209
73,70,14.399497020672,-3.493053661137,-9.704905553255,0.0372861507167792,-0.173037923310419,-0.984209134310967,4.75705084275658,-0.0275357299617296,NaN,NaN,NaN,0.0424027697194019,-0.0986588404936183,-0.421553597945779,0.00488407065285587,-0.0226660415952034,-0.12892043980817
74,71,16.760233103306,-2.738517730954,-9.704833491545,0.106236376157872,-0.189376612347066,-0.976140528344558,5.60062564029371,-0.0275357299617296,NaN,NaN,NaN,0.0572076837708422,-0.112525012630297,-0.388963664967823,0.0163834887127294,-0.0292051527269005,-0.150537771585931
75,72,14.027309536501,-5.831845504273,-9.02547894163,0.0700680677087037,-0.397835467963032,-0.914777244097274,4.95169785704679,-0.0275357299617296,NaN,NaN,NaN,0.0524962164170882,-0.158156320863469,-0.380687236664902,0.00955368399087103,-0.0542443150720278,-0.12472861030617
76,73,15.778254630549,-6.890227341897,-8.175443177154,0.19587009640837,-0.533572919920637,-0.822760502491668,3.81452387749491,-0.0275357299617296,NaN,NaN,NaN,0.12597187616613,-0.114542473639022,-0.181893512764259,0.0205733525723563,-0.0560442048371802,-0.0864192248370529
77,74,14.338154130974,-9.628969571524,-5.792663288428,0.200419459694672,-0.807714042444922,-0.554463764201935,5.85916955667019,-0.0275357299617296,NaN,NaN,NaN,0.0724781245729827,-0.261671050455333,-0.175558221294372,0.0323349763060144,-0.130313765261517,-0.0894552490328348
78,75,14.374871536922,-10.7461410987,-3.442449739368,0.231651239176264,-0.932178718375782,-0.278173579614214,6.08865194484366,-0.0275357299617296,NaN,NaN,NaN,0.104792793078706,-0.203759346033786,-0.0419363680010591,0.0388375987200902,-0.156284866545174,-0.046637323840808
