NodeID,Pressure_Reference,Pressure_Reconstructed,Pressure_Error,Pressure_RelativeError
112,-269.739875,-0.0275357299617296,269.712339270038,0.999897917465997
113,-237.621821,-0.0275357299617296,237.594285270038,0.999884119523006
116,-597.603062,-0.0275357299617296,597.575526270038,0.999953923044053
124,-285.894055,-0.0275357299617296,285.866519270038,0.999903685545466
131,-353.338104,-0.0275357299617296,353.310568270038,0.999922069740993
133,-424.768234,-0.0275357299617296,424.740698270038,0.999935174695851
138,-422.98511,-0.0275357299617296,422.957574270038,0.999934901420143
139,-586.723741,-0.0275357299617296,586.696205270038,0.999953068662409
143,-81.041873,-0.0275357299617296,81.0143372700383,0.99966022836168
147,748.127713,-0.0275357299617296,-748.155248729962,1.00003680618895
148,1721.73879,-0.0275357299617296,-1721.76632572996,1.00001599297763
149,5211.728809,-0.0275357299617296,-5211.75634472996,1.00000528341573
150,1437.259783,-0.0275357299617296,-1437.28731872996,1.00001915849194
155,35.201775,-0.0275357299617296,-35.2293107299617,1.00078222561112
158,46.281712,-0.0275357299617296,-46.3092477299617,1.00059495919169
160,-9.418593,-0.0275357299617296,9.39105727003827,0.997076449745548
