NodeID,U1_Measured,U1_Predicted,U1_Error,U2_Measured,U2_Predicted,U2_Error,U3_Measured,U3_Predicted,U3_Error
112,1.46309,0.175991478026084,-1.28709852197392,2.367635,-0.137738629561962,-2.50537362956196,13.883707,-0.188302004884963,-14.072009004885
113,0.03584,0.0799739139322893,0.0441339139322893,2.491904,-0.128444557368498,-2.6203485573685,8.872432,-0.170114012861536,-9.04254601286154
116,2.959224,0.121961289097905,-2.83726271090209,-0.629833,-0.212023564916585,0.417809435083415,9.99089,-0.339668812576212,-10.3305588125762
124,2.257718,0.152741158582219,-2.10497684141778,-1.780323,-0.111524173275225,1.66879882672478,5.775821,-0.170385090907705,-5.9462060909077
131,2.033559,0.174310081236813,-1.85924891876319,-1.246151,-0.103096696091376,1.14305430390862,-5.11474,0.142663829271751,5.25740382927175
133,2.171199,0.129041735117482,-2.04215726488252,-0.548781,-0.206916486671097,0.341864513328903,-7.328127,0.334142426099395,7.6622694260994
138,0.017698,0.0680536247299242,0.0503556247299242,0.830875,-0.170955061893402,-1.0018300618934,-4.450568,0.229682305697026,4.68025030569703
139,0.756621,0.146725812915694,-0.609895187084306,0.466033,-0.208019160343908,-0.674052160343908,-7.992837,0.274698315614753,8.26753531561475
143,0.044246,0.0551586037198751,0.0109126037198751,-0.434256,-0.0819733713974802,0.35228262860252,-0.750862,-0.0352578686989581,0.715604131301042
147,-3.900079,0.534549891581022,4.43462889158102,-7.44504,-0.081261737790983,7.36377826220902,-0.998251,0.000287876613418502,0.998538876613418
148,-6.554801,0.458746244757397,7.0135472447574,-14.338407,-0.117587962137192,14.2208190378628,-1.592608,0.00078169988997713,1.59338969988998
149,-11.507624,0.13254032114559,11.6401643211456,-29.300049,-0.503847555867745,28.7962014441323,-2.172851,0.00665217228058239,2.17950317228058
150,-2.804745,-0.0217930731419763,2.78295192685802,-7.631829,-0.774907457138645,6.85692154286135,-1.173124,0.00189809636320021,1.1750220963632
155,-0.028248,0.000293630470828421,0.0285416304708284,-0.15726,-0.00606491128182002,0.15119508871818,0.766577,-0.437435709420107,-1.20401270942011
158,-0.02872,-0.00155522075146808,0.0271647792485319,-0.150949,-0.0224758983481548,0.128473101651845,-0.492629,0.334054906143414,0.826683906143414
160,-0.019218,0.0535342057929789,0.0727522057929789,-0.382009,-0.104745839907387,0.277263160092613,0.772733,0.0680341483215255,-0.704698851678474
