INP_NodeID,MTX_NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure,U1_Reconstructed,U2_Reconstructed,U3_Reconstructed,EquivalentForceX,EquivalentForceY,EquivalentForceZ
44,41,14.059468711656,1.3213382053299,9.3228367104515,0.0616705552503091,0.359197092603266,0.931221880799887,4.82260031130188,326.951133859681,-67.9568701177636,792.494068228298,2089.35550684572,97.2393341381202,566.365682412356,1468.30842135761
45,42,14.055859827227,1.3082343524453,-9.396771506921,0.06199557305639,0.360543510494657,-0.930679819251282,4.78003702673387,-401.866535332572,90.0859902611474,-423.5997679133,1322.46160781496,-119.089585079669,-692.581340105064,1787.77722428413
46,43,12.438589825994,-2.454488555049,-9.862116025511,0.0100265018887188,-0.0531067033686556,-0.998538505675765,4.64039799141351,-269.543088160505,161.971164271738,-540.289663824215,21012.1924992067,-12.5410202723092,66.4251850679024,1248.95918649862
47,44,18.851618670862,1.7551139607917,8.9401954001253,0.0146232212466463,0.520499713141239,0.853736616305204,4.44800144005425,-182.977451596554,-78.9008044898429,-286.88168465145,-669.100566989561,-11.9016053360714,-423.626371977796,-694.842545075207
48,45,21.422384684284,1.5261818649078,8.9113734708596,0.131797097783684,0.354279158222976,0.9258054887851,5.34264989114011,97.8362498362696,-35.2388318828522,-1677.52918499931,-2463.49341239324,68.8909795305316,185.18342700756,483.923000200114
49,46,18.758591711762,1.6180512367974,-9.08544869941,0.0137126887816736,0.489384371477264,-0.871960377035666,4.93755769860314,91.7318784560601,-18.2482393708544,219.925060864134,-446.320649539788,6.21090791287849,221.657569397286,-394.938271528858
50,47,21.372984584044,1.6879999910574,-8.917118887271,0.117165492302901,0.392368598904276,-0.912315258015185,4.98205560033036,-44.4667676580479,89.964805991172,-772.082725385484,1114.24857594549,-25.9563638219351,-86.9237341582878,202.110589832415
51,48,23.992312649158,1.3807503514847,-8.516404667641,0.29265689094387,0.186316199080459,-0.937890301764166,5.63828802657755,-584.79856856311,326.970872674071,-468.436882192411,1347.91466490236,-964.966670041269,-614.333466133552,3092.47077162092
52,49,26.376736019175,1.0990085341073,-7.570497333826,0.477549250510671,0.0479699566005668,-0.87729447541885,5.19309636066779,976.53550757067,-867.844896829655,248.780932107613,-1797.58499408216,2421.76828923644,243.267306161766,-4448.97345900916
53,50,23.975904377591,1.2183761995184,8.4837637315993,0.292114325761228,0.160132083446494,0.942882249560436,6.15806127980303,21.4401213024171,138.258525713205,-477.864758520046,-423.969988521153,38.5677319837275,21.1421718543459,124.488348178396
54,51,26.347576404538,1.0982992856336,7.5175564131394,0.478922718250623,0.0479377449736091,0.876547204975454,5.21296954422572,193.297034910455,-247.1318841739,115.931492322513,441.844931279554,482.587222238137,48.3045433127021,883.254154981103
55,52,28.449492663278,1.0535224072735,5.8683790891648,0.747346793660728,-0.0889787208520862,0.658449358144236,5.11249638788355,-72.2676967833945,-321.151323571817,202.056857185293,68.3864146006809,-276.120978335753,32.8748201787233,-243.276190514937
56,53,29.716627269057,0.9354070463398,3.5364952600241,0.928398550637547,-0.172889963339152,0.328915174096131,5.19182106923655,-268.199575139075,-1685.68582109832,148.749726635379,172.523911200849,-1292.74318173533,240.739627548619,-457.996028095982
