NodeID,U1,U2,U3,UR1,UR2,UR3
7,-4.5840564559580595e-38,-7.1718494640501139e-38,-2.5760243430692688e-38,2.6343191999642598e-39,-1.1972021455928361e-39,-5.9683123283597581e-40
8,-8.3678728373747600e-38,-8.4812468514488093e-38,-4.2391394506506847e-38,-3.2301877407552445e-39,2.0019580445653283e-39,1.3505336248577219e-39
9,-1.6150777554452825e-37,-1.2862801105807904e-37,-4.8514701655408644e-38,7.3463366264906043e-39,-4.2738075746580807e-39,-3.5905372460502285e-39
10,7.1368130788062933e-38,5.1236707106778030e-38,3.7238424887017555e-38,1.9033689904585236e-38,8.0932903651081621e-39,5.2108306343797280e-39
11,3.0156312895064645e-37,1.0376074787637427e-37,9.0373700836364563e-38,2.6168164216254571e-38,2.1207236946107138e-39,8.6668628460332746e-40
12,7.3673067216975938e-37,-3.0753730150918402e-37,-3.1372415754344294e-37,1.5096565305458158e-38,1.3069497393710593e-38,5.3552834865746518e-39
13,4.4457339482329254e-37,-3.0495956702146888e-36,-1.1902494631322421e-36,3.3224786589141413e-42,-5.0027223981443851e-39,-1.8909247594460871e-39
14,3.7960700078120195e-37,-5.8989831428892264e-36,-8.3224904974130136e-37,3.8704547418302038e-38,-2.2716368129858679e-38,-3.7096375261688948e-38
15,2.4822062898439509e-37,-5.2375286547687161e-36,4.4336424240439594e-37,1.0336500157187044e-38,-1.4859382928685003e-39,-1.5729048373823485e-38
16,5.5199339261591520e-37,-3.6906619607233113e-36,1.1474982011671120e-37,7.8338847959892806e-39,-8.8700441168680515e-39,-3.2206544270427499e-38
17,6.4680304947614026e-37,-3.7117837661072424e-36,-5.9615536977105038e-37,3.4820305020621649e-40,-5.2272594575754721e-39,-8.5779644714565082e-40
18,2.9590038096282043e-37,-3.9460374627211209e-36,-1.3314951467162841e-36,-1.2030818538192966e-38,8.6104521750534148e-39,-4.1489594484984468e-38
19,-2.7032170657674724e-37,-5.2398991585132943e-36,-1.2689936478833286e-36,-4.0963050981820561e-39,4.3543640194767214e-39,-3.3992431900883191e-39
20,-1.2935121559032322e-37,-5.0865952231710232e-36,4.1650370502470926e-37,-1.9469563791913471e-38,4.9062640183525863e-39,-1.7590709817439077e-38
21,4.8915970757420070e-37,-2.2917426097208372e-36,9.5181348475290291e-37,1.4806104159772910e-38,-3.3740660605797951e-39,5.9084993047085176e-39
22,3.8857898796005117e-37,-2.6949321408308755e-37,2.3456778925686611e-37,-1.7221691879843780e-39,-8.3039503658470405e-39,4.3555369062913613e-39
23,2.7416500863849392e-37,2.1055056493400849e-37,-1.2069462145943652e-37,4.2921771962269147e-39,6.0972163727945337e-39,-3.9000154131948287e-39
24,6.2632845340613607e-38,3.3139659388991837e-37,-2.4375584544852650e-37,4.1568944411825325e-39,-7.1155189473424134e-39,4.7756658040744420e-39
25,-9.5532256031532654e-38,1.1067747862356756e-37,-5.5486127884261465e-38,1.6144796812607087e-38,-1.6195507001434073e-39,3.1703438885377889e-39
26,-1.5771898959823767e-37,-2.0846859414842868e-37,8.2175404170832221e-38,-1.0107818056898484e-38,-3.2164802391772191e-39,5.1474457009429235e-40
27,-9.8507459299823962e-38,-1.1013073680433888e-37,4.2074804749655798e-38,-4.4705891154062861e-39,-1.7654707118304792e-39,7.8009724989576836e-40
28,-4.7849844949141406e-37,-2.3624450452656318e-37,3.8208025333437826e-38,6.7082651798495491e-39,-6.6042019532918596e-39,1.0198972522002813e-39
29,-7.5177290492986027e-37,-6.7443670003417651e-37,-2.3242883607053300e-38,-4.7463029960529798e-39,7.1899264944995969e-39,2.6929593368008605e-40
30,-5.5407300922007494e-37,-8.1511347886247805e-37,-1.9600156681257450e-37,-1.3043647640939193e-38,-2.9376484694474027e-38,-5.2536150790924933e-39
31,-2.8650705360379557e-36,-2.0993854502711770e-36,-1.1426637887275177e-36,-1.6101677457561348e-38,-4.5366981730577380e-39,-1.7481310446329239e-39
32,-9.2343855851762654e-37,-2.8498416279016313e-36,-2.4839695493068047e-36,1.1525457062615793e-38,-2.4354970883923046e-38,-2.0388197611887783e-38
33,-5.7766324332734877e-36,-4.2351560523736687e-36,-7.1810113327760730e-36,-1.6022853017644613e-38,8.2488120738727876e-39,1.0096519387380633e-38
34,-2.6590063906881050e-36,-2.5760428850505488e-36,-9.0442301458737523e-36,-5.2968339263291993e-39,6.5786548809887538e-39,1.7070096609376193e-38
35,-2.8720785529723090e-36,-3.3336142172907449e-38,-5.2925366820377254e-36,4.8646258357836387e-39,-3.8300990276158063e-40,-6.1490377913037298e-39
36,-2.0375977392447854e-36,1.9618600011125508e-37,8.0810501351261620e-37,-2.3884964168600788e-38,2.6346681232818767e-39,-7.4888977257586896e-39
37,-1.1036896651158427e-36,-1.3938284897335206e-36,4.7406968268919493e-36,-1.5781759616857528e-39,-4.2991122223268582e-39,1.2824781636393229e-38
38,-4.9590407412612696e-36,-5.3316151967797987e-36,8.5319279829508396e-36,1.5775853143830399e-38,-8.5901879979608136e-39,1.1578888573060498e-38
39,-4.0045937122264532e-36,-5.1342488773668490e-36,4.6997012461675779e-36,9.3285027315458089e-39,-7.4654091608996770e-39,5.9926612904758662e-39
40,-5.0987587628906678e-36,-3.3329659317795973e-36,1.8925798050363318e-36,-1.1527701942755641e-38,6.9737131479465992e-39,-3.2531970615394580e-39
41,-1.0343481257980494e-36,-1.9818390644144066e-36,4.6605608500853200e-37,3.6775312560139775e-39,-4.1868471958574755e-39,1.3586149131014831e-39
42,-9.3788040775328440e-37,-6.8420417632525364e-37,2.1910257175271184e-38,-5.8460069983934881e-40,-3.6551048753909231e-40,-1.2046682638107587e-40
43,-4.1843973898302043e-37,-1.4696015630078316e-37,-9.5185538357698622e-39,-1.6159073241361628e-40,-4.8718523319641618e-40,-2.2694729278972575e-40
44,-5.3302529267966747e-03,-2.1787641942501068e-01,-3.7384468317031860e-01,-6.1480480432510376e-01,8.7227666378021240e-01,2.4233100414276123e+00
45,-3.0506631359457970e-02,2.7066031470894814e-03,-5.2332286722958088e-03,1.8363294005393982e-01,-5.0924128293991089e-01,7.7730393409729004e-01
46,-4.1656129062175751e-02,-1.8206554651260376e-01,1.4157495498657227e+00,-2.0415525436401367e+00,-2.7847018241882324e+00,-2.2935165405273438e+01
47,4.1854489594697952e-02,-2.9711675643920898e-01,-3.7065291404724121e-01,-6.5488785505294800e-01,-6.3559478521347046e-01,-7.3675203323364258e-01
48,1.9324918091297150e-01,-9.5253342390060425e-01,-1.3566823005676270e+00,-1.3500999212265015e+00,2.4470707401633263e-02,-1.1453148126602173e+00
49,2.4016704410314560e-02,-1.6092318296432495e-01,1.7901273071765900e-01,-1.7102514207363129e-01,2.3116388320922852e+00,-3.9464428424835205e+00
50,2.0729221403598785e-01,-1.1538450717926025e+00,1.5464308261871338e+00,1.4538377523422241e+00,-1.7667797803878784e+00,1.8748060464859009e+00
51,8.8396310806274414e-01,-1.6747311353683472e+00,2.9756696224212646e+00,2.9501302242279053e+00,8.7923574447631836e-01,-3.6640422344207764e+00
52,1.7084196805953979e+00,-1.3958867788314819e+00,3.2347056865692139e+00,3.5023877620697021e+00,7.1690201759338379e-02,-9.4933677464723587e-03
53,6.8711566925048828e-01,-1.2772201299667358e+00,-2.3337423801422119e+00,-3.0065460205078125e+00,6.3786780834197998e-01,7.2072792053222656e-01
54,1.4505804777145386e+00,-1.2012258768081665e+00,-2.9429230690002441e+00,-2.8307552337646484e+00,-2.0304718613624573e-01,-2.1821067333221436e+00
55,1.8864353895187378e+00,-7.3415344953536987e-01,-2.1643564701080322e+00,2.4820043146610260e-01,-3.7741044163703918e-01,-3.5637452602386475e+00
56,2.0123748779296875e+00,-3.5827332735061646e-01,-1.2537758350372314e+00,-5.8579282760620117e+00,-6.6593968868255615e-01,8.5215258598327637e-01
57,1.8174600601196289e+00,-2.0759131014347076e-01,-4.9108070135116577e-01,-6.4259452819824219e+00,-2.4307227134704590e+00,-6.0981321334838867e-01
58,1.7639126777648926e+00,-2.0242136716842651e-01,1.4476150274276733e-01,4.9089550971984863e+00,1.8166999816894531e+00,-8.5731971263885498e-01
59,1.6865321397781372e+00,-3.6825838685035706e-01,8.5929667949676514e-01,6.1365675926208496e+00,8.1189376115798950e-01,7.2332966327667236e-01
60,1.8400001525878906e+00,-7.4544924497604370e-01,1.9276601076126099e+00,1.4323297739028931e+00,5.3622245788574219e-01,-8.2766288518905640e-01
61,-1.1275871098041534e-01,1.1421455144882202e+00,4.2418980598449707e+00,-1.2750228643417358e+00,-1.2334564208984375e+01,-1.2650804519653320e+01
62,-3.7230971455574036e-01,-1.0869152545928955e+00,1.7447296380996704e+00,-9.0615873336791992e+00,-3.1034713745117188e+01,-1.7395528793334961e+01
63,-5.1136887073516846e-01,-9.9342453479766846e-01,-5.6521803140640259e-01,1.3080191612243652e+01,6.0587837219238281e+01,-5.3947806358337402e-01
64,9.8089026287198067e-03,1.6764965057373047e+00,-3.3368768692016602e+00,6.8240118026733398e+00,1.6635002136230469e+01,-4.2408647537231445e+00
65,-4.8551391810178757e-02,4.1745367646217346e-01,-2.3392159938812256e+00,5.2449035644531250e+00,1.8751815795898438e+01,-2.9379169464111328e+01
66,-6.1784047633409500e-02,-1.4595204591751099e-01,-6.7788755893707275e-01,2.3020443916320801e+00,1.5700423717498779e+00,-1.3144568443298340e+01
67,-7.0231109857559204e-02,-3.4943103790283203e-01,-7.3244923353195190e-01,5.4184830188751221e-01,-1.4969805479049683e+00,-3.6273710727691650e+00
68,9.0160357952117920e-01,-1.4373602867126465e+00,-3.5961058139801025e+00,1.3990093767642975e-01,1.2662838697433472e+00,2.8496593236923218e-01
69,6.2843966484069824e-01,-1.1651084423065186e+00,-3.7603807449340820e-01,-5.0131425857543945e+00,-1.8681714534759521e+00,1.5916367769241333e+00
70,1.0783313512802124e+00,-1.9808114767074585e+00,4.5909810066223145e+00,1.9023783206939697e+00,-7.2624844312667847e-01,1.0713294029235840e+01
71,1.1337888240814209e-01,-9.1912883520126343e-01,3.3655955791473389e+00,4.3258538246154785e+00,-5.0536141395568848e+00,1.5072018623352051e+01
72,-1.6725407913327217e-03,-4.2728802561759949e-01,2.1050107479095459e+00,1.6177333593368530e+00,2.1811792850494385e+00,-9.1427907943725586e+00
73,3.6506682634353638e-02,-3.2074856758117676e-01,3.0880637168884277e+00,4.9167431890964508e-02,-2.1681971549987793e+00,-4.5352115631103516e+00
74,2.3439607024192810e-01,-6.4833462238311768e-01,5.3391876220703125e+00,-6.2295293807983398e-01,-3.5388054847717285e+00,-1.9577821731567383e+01
75,-9.0109542012214661e-02,9.4856017827987671e-01,6.7884879112243652e+00,2.9779684543609619e+00,5.6000113487243652e+00,7.5015149116516113e+00
76,3.1757754087448120e-01,1.5389871597290039e+00,1.0485077857971191e+01,5.7896595001220703e+00,6.4073729515075684e+00,1.4672088623046875e+01
77,-7.1875929832458496e-01,-1.0012844800949097e+00,5.3423418998718262e+00,4.6410945057868958e-01,2.8009263992309570e+01,1.2471933364868164e+01
78,-3.7795069217681885e+00,-1.1646178245544434e+01,-7.0682227611541748e-01,-6.7890176773071289e+00,-1.5496546745300293e+01,-9.2988204956054688e+00
