NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,IsFixedNode
7,10.312744967552,-3.3435787600887,8.696246690073,0.0628736072241965,-0.404406893021736,0.912415461503762,1.50736580251163,0,0,0,1
8,12.782398274315,-3.3435896104061,8.421323067363,0.0921967697886558,-0.458745945059832,0.883771414751405,2.75414221091213,0,0,0,1
9,15.239182217551,-3.3430934061617,8.04796460126,0.104363584136265,-0.507240201191437,0.855462226285593,2.9488285816243,0,0,0,1
10,17.707956777222,-3.3435255119312,7.780026390772,0.0188356460719401,-0.566754085477891,0.823671673078036,3.3368235251476,0,0,0,1
11,20.19272278083,-3.3432897586999,7.777286549074,0.0188309064588284,-0.588446450758341,0.808316875706458,2.63302455815025,0,0,0,1
12,22.676635591442,-3.3080002668852,7.745106730184,0.118962590830225,-0.500222724363226,0.85768591454774,2.59969766891759,0,0,0,1
13,25.132403397042,-3.2120056181077,7.397060346408,0.300845172960273,-0.347231207441346,0.888213189772212,2.65683185959833,0,0,0,1
14,27.429128498188,-3.1222279050356,6.476090723632,0.567641065914395,-0.18026216863035,0.803298929943426,2.68440192602829,0,0,0,1
15,29.200680530988,-3.0529789915352,4.763358762979,0.844173561196153,-0.030683428298018,0.535191111478213,2.70788789630835,0,0,0,1
16,30.180745754188,-3.0146689189496,2.491621103161,0.967713057240264,0.0641237626221296,0.243761321611698,2.67177690385207,0,0,0,1
17,30.51228461246,-3.0017662564652,0.034721747776,0.995075065019445,0.0991238551507576,-0.000276254590240178,2.60036651172309,0,0,0,1
18,30.18077596629,-3.0146680914026,-2.4224472454579,0.967847183467688,0.0589806025390091,-0.244526313467078,2.59123470994448,0,0,0,1
19,29.20072966945,-3.0529777509529,-4.6942255951501,0.844480164669658,-0.0366104014944958,-0.534334099587439,2.62516871169023,0,0,0,1
20,27.429171841548,-3.1222271373552,-6.4070047766191,0.563937005418177,-0.184543773506631,-0.804933941128036,2.6588071741853,0,0,0,1
21,25.132412775975,-3.2120063105588,-7.327998451261,0.294920429605111,-0.342537060238066,-0.892014743468403,2.75377287122256,0,0,0,1
