INP_NodeID,MTX_NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure,U1_Reconstructed,U2_Reconstructed,U3_Reconstructed,EquivalentForceX,EquivalentForceY,EquivalentForceZ
84092,180,5.4218834460185,-5.863594978375,8.9745713828384,-0.0384966624574823,-0.370022817208327,0.928224715101277,0.408660315807971,0.00140530588031532,-0.000531240629151081,5.79847693017479e-05,0.000614468296177378,2.210835395052e-05,0.000212501419354089,-0.000533072719479115
84093,181,5.4326873094965,-5.859745138494,-9.0456564413,-0.0384410289642165,-0.369718093156935,-0.928348436140532,0.417044336991169,-0.00206216373375448,-0.000381193718592717,-0.000416194218586911,-0.00167318635744857,-3.30598118246722e-05,-0.000317962627881858,-0.000798392380055798
84094,182,7.469722809552,2.8990561158315,9.045734607142,0.04224859261667,0.41781544954653,0.907549065638956,0.339410508872286,0.00168316312615946,0.000238179657795524,0.000138091560048516,0.000819944132540426,-2.41359134316877e-05,-0.000238690969239476,-0.000518467582624943
84095,183,7.668189185651,2.438322620103,9.2300813098734,0.0395866285593411,0.356052738273627,0.933626984618138,0.353314783561729,0.00825376716984237,0.000401007100845074,-0.00185191208934531,-0.00336437443770414,-0.000115441653762239,-0.00103831314837197,-0.00272262243650799
84096,184,7.7389268140479,1.9541204155237,9.3938435821336,0.0361775225749103,0.294020886213989,0.955114079746646,0.327412684800796,0.0135036294593791,0.000141928990839572,-0.00598870207681085,-0.0148596909546616,-0.000159950218114867,-0.00129994265867363,-0.00422280727110943
84097,185,7.8073426753689,1.3952135509674,9.5436683458143,0.03133850033866,0.233030972118341,0.971964230015747,0.316284038144152,0.00701150049269534,-0.000404375571996167,-0.0061027311834446,-0.014243964087976,-6.94970634145033e-05,-0.000516775470167382,-0.00215545284554358
84098,186,7.9394225903755,0.8634912331491,9.6507094688343,0.0278148466850214,0.17960936146808,0.983344706385771,0.343117041656477,-0.00864497706103634,-0.000890325879347507,0.000413825287991107,0.0226058500877621,8.25054817469646e-05,0.000532764284556302,0.00291683537365588
84099,187,7.9984552305246,0.326064745896,9.7330363589972,0.0235309092186819,0.131900259520311,0.990983661747164,0.354489903653387,-0.0259784175637073,-0.00100348552519965,0.00886000533658487,0.0814232679035179,0.000216698184047695,0.00121468093084897,0.00912605449818548
84100,188,7.9763804887881,-0.223727295446,9.7938931802054,0.0193372592570433,0.0880213505821906,0.995930877243051,0.347615638472108,-0.0369262023267465,-0.000544597799165178,0.0129165207256398,0.119554810850131,0.000248215484680181,0.0011298530937886,0.0127838936281935
84101,189,7.8926940616064,-0.793097164626,9.833221509252,0.0148825961961543,0.0450103114683279,0.998875658023553,0.32924616593923,-0.0287993758281914,-0.000267826882296434,0.00976196046211706,0.0800843210341451,0.000141118028354584,0.000426791557488974,0.00947142296772764
84102,190,7.7885963949557,-1.362716459443,9.8479071227317,0.0102415073676892,0.00229432146176887,0.999944922291157,0.315407302435097,-0.00534284818508412,0.000368063654022624,0.00699481681663236,0.00476430753317677,1.72587151096204e-05,3.8663293455689e-06,0.00168508051789143
84103,191,7.6658524479208,-1.919018566852,9.8383771211698,0.00544699283208075,-0.0396970331382826,0.999196915442149,0.309576203641028,0.00997357992796537,0.00124736503718796,0.00692488776852022,-0.0446080289432953,-1.68180425283357e-05,0.000122567885097318,-0.00308510342057282
84104,192,7.4608584646823,2.9056343903159,-9.112178482809,0.0422325907494054,0.418258606425285,-0.907345659839607,0.330584673131228,0.000569784058177511,0.000193482776685519,-0.000548794354736255,0.000486740506805195,-7.95501004842018e-06,-7.87839760220775e-05,0.000170909331237657
84105,193,7.6084425810945,2.44132499378,-9.300502783254,0.039596320478577,0.355946041082376,-0.933667257240148,0.327931258521673,0.00247023847433108,0.000307588066797579,-0.00249250625939299,0.00432895159532516,-3.20757284406724e-05,-0.000288340644163334,0.000756334352162479
84106,194,7.7083860292345,1.9305438311869,-9.471278035257,0.0364341571820852,0.292321033713418,-0.955625954774749,0.318818769194361,0.00385148384397233,0.000190214825847903,-0.00522436753142282,0.011361862440439,-4.47384247983242e-05,-0.000358948404333795,0.0011734373241942
84107,195,7.7846513121162,1.3714104670259,-9.619082527355,0.032123526068497,0.229577529055289,-0.972760112887959,0.30788511085447,0.00108926235497068,-0.000267722816219844,-0.00404858599596793,0.00510288551552962,-1.07731917977651e-05,-7.69928789167119e-05,0.000326232283685537
84108,196,7.8568758392925,0.7979664932794,-9.733674714066,0.0276627593557184,0.172593509518948,-0.984604617202642,0.303919664046451,-0.0145361815586604,-0.000329969374736417,0.00367739919088302,-0.0360436104562074,0.000122209407330135,0.000762489028520521,-0.00434981721004543
84109,197,7.9059089497507,0.2379065983757,-9.815502214834,0.0238023468520295,0.123848539416082,-0.99201561861134,0.295563471048424,-0.0295495332638947,-0.000326218294606289,0.00934683463383732,-0.0762659227876009,0.000207884047188762,0.00108166374401173,-0.00866402892762676
84110,198,7.8173535475979,-0.243985573966,-9.867707225842,0.0193176772376682,0.085196775538148,-0.99617686019303,0.218759732566378,-0.0117738193332995,-0.000916262146386711,0.00594802875546652,-0.0444583099008132,4.97553352321505e-05,0.000219436015802825,-0.00256579054612045
84111,199,7.8878090094152,-0.725317753537,-9.899130643094,0.0163513301578844,0.0502739034250686,-0.998601606566139,0.302538724966642,-0.01525460043086,-0.000624409488165701,0.00666013623078598,-0.0440369581352775,7.54631442265752e-05,0.000232019461925519,-0.00460865362839326
84112,200,7.8172672767514,-1.276494041177,-9.916204314557,0.0112939470578106,0.00900073667305985,-0.999895711311534,0.318644174442917,-0.00966942072134348,-1.81858869102799e-06,0.00578687029777393,-0.0224686950639604,3.47978320410382e-05,2.77322110145845e-05,-0.00308078325873773
84113,201,7.6949212373871,-1.838442457714,-9.910233037692,0.00651357463934673,-0.033579988645943,-0.999414807628922,0.318855669495577,0.000265023036565626,0.000545931886473515,0.00541019224383747,0.0100235974768353,-5.50423748063599e-07,2.83764664317822e-06,8.44546466025519e-05
84114,202,7.5302325816337,-2.398904609885,-9.879932164634,0.00145801677105905,-0.0766241739122131,-0.99705898028119,0.315675481881187,0.00271970425157063,0.000858026360708128,0.00539510075254123,0.0276585286096277,-1.25177147806666e-06,6.57852209505505e-05,0.000856018955501901
84115,203,7.3491487397268,-2.955292603302,-9.82481049277,-0.00371063947184066,-0.120086483549432,-0.992756499663156,0.323165597835697,0.000532894534790572,0.000747124957891947,0.00381277808604063,0.0183746175062768,6.3902102668917e-07,2.06804753174214e-05,0.000170965754684975
84116,204,7.1492362759858,-3.496792532371,-9.746109381282,-0.00929988601639081,-0.163487133980257,-0.986501631596727,0.340110161053858,-0.0021545702566167,0.000258836944646138,0.00140898515484518,0.00376709601437409,-6.81487497772177e-06,-0.000119801939139668,-0.000722899750900315
84117,205,6.9184731571224,-4.020801965436,-9.644816139025,-0.015189167165398,-0.20683267042325,-0.978258419665483,0.365242716022702,-0.00324590533383976,-0.000295038316759784,-0.000809146660570125,-0.00741721010839685,-1.80074150630133e-05,-0.000245209082522155,-0.00115976769562021
84118,206,6.6395239326301,-4.533331630065,-9.51958366199,-0.0215062965984188,-0.250831287830155,-0.967791890982812,0.395768272789169,0.00206771266533807,-0.000637034341883956,-0.00141588680113078,-0.00964996283003994,1.75993567362894e-05,0.000205264039531118,0.000791978045032024
