NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,FX_From_KU,FY_From_KU,FZ_From_KU,KU_ForceMagnitude,FX_From_Pressure,FY_From_Pressure,FZ_From_Pressure,PressureForceMagnitude,IsFixedNode
7,10.312744967552,-3.3435787600887,8.696246690073,0.0628736072241965,-0.404406893021736,0.912415461503762,1.50736580251163,0,0,0,-0.020080465628599,-0.0246711231303458,0.0451724855128937,0.0552489173087276,0,0,0,0,1
8,12.782398274315,-3.3435896104061,8.421323067363,0.0921967697886558,-0.458745945059832,0.883771414751405,2.75414221091213,0,0,0,-0.0412875055709991,0.00028918051502359,0.0409932984565557,0.0581824050722708,0,0,0,0,1
9,15.239182217551,-3.3430934061617,8.04796460126,0.104363584136265,-0.507240201191437,0.855462226285593,2.9488285816243,0,0,0,-0.112993331230063,0.035032833629073,0.0773625238784397,0.141349752158931,0,0,0,0,1
10,17.707956777222,-3.3435255119312,7.780026390772,0.0188356460719401,-0.566754085477891,0.823671673078036,3.3368235251476,0,0,0,0.0341298105463118,-0.020988049342526,-0.0127835736249343,0.0420566515280943,0,0,0,0,1
11,20.19272278083,-3.3432897586999,7.777286549074,0.0188309064588284,-0.588446450758341,0.808316875706458,2.63302455815025,0,0,0,0.211189451633736,-0.19951487039878,-0.00827062197968394,0.290646815189039,0,0,0,0,1
12,22.676635591442,-3.3080002668852,7.745106730184,0.118962590830225,-0.500222724363226,0.85768591454774,2.59969766891759,0,0,0,1.05045401242198,-1.03895937844649,0.00623387241499543,1.47747388587435,0,0,0,0,1
13,25.132403397042,-3.2120056181077,7.397060346408,0.300845172960273,-0.347231207441346,0.888213189772212,2.65683185959833,0,0,0,1.63481657877095,-3.4425104332483,1.86643411007598,4.24347494590258,0,0,0,0,1
14,27.429128498188,-3.1222279050356,6.476090723632,0.567641065914395,-0.18026216863035,0.803298929943426,2.68440192602829,0,0,0,1.21184405376959,-6.17873385238169,5.07231382960102,8.08539953342974,0,0,0,0,1
15,29.200680530988,-3.0529789915352,4.763358762979,0.844173561196153,-0.030683428298018,0.535191111478213,2.70788789630835,0,0,0,-0.195154428404647,-5.39710254171159,5.68434181974239,7.8408254042765,0,0,0,0,1
16,30.180745754188,-3.0146689189496,2.491621103161,0.967713057240264,0.0641237626221296,0.243761321611698,2.67177690385207,0,0,0,0.437236039892603,-4.18013589902296,3.81422210968168,5.67564990030798,0,0,0,0,1
