Node_ID,U1,U2,U3,RF1,RF2,RF3
44,6.433553062379e-04,4.968870780431e-04,8.348220726475e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
45,-6.542140035890e-04,-1.129540149122e-03,1.904739998281e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
46,-7.570672896691e-04,-6.775602232665e-04,3.926138859242e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
47,9.811812778935e-04,2.236017258838e-03,3.106030868366e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
48,6.374429794960e-04,7.075498811901e-03,1.077887788415e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
49,-1.163804088719e-03,-3.318776842207e-03,4.604161251336e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
50,-7.365973433480e-04,-6.737040355802e-03,9.837581776083e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
51,2.088065957651e-03,-1.008590124547e-02,1.997559890151e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
52,8.777121081948e-03,-1.028177049011e-02,3.050868958235e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
53,-2.472757827491e-03,1.040860544890e-02,2.128466404974e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
54,-9.170453995466e-03,1.046924944967e-02,3.106875903904e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
55,-1.816616207361e-02,7.178891915828e-03,3.314537554979e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
56,-2.082895860076e-02,1.853901892900e-03,2.700838446617e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
57,-8.807108737528e-03,4.157055445830e-05,2.135279774666e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
58,8.480401709676e-03,2.333653246751e-04,2.121266908944e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
59,1.850440166891e-02,-1.871877117082e-03,2.688735909760e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
60,1.762424595654e-02,-6.933683995157e-03,3.360133245587e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
61,-9.092314285226e-04,6.003519054502e-03,1.993124559522e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
62,1.654661260545e-03,3.584403172135e-02,4.346804693341e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
63,-4.100747872144e-03,-3.004960715771e-02,3.148584812880e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
64,-1.280469354242e-03,-3.158209100366e-02,4.007963091135e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
65,1.077055814676e-03,-6.436976138502e-03,2.380223758519e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
