NodeID,U1_Abaqus,U1_Completed,U1_Error,U2_Abaqus,U2_Completed,U2_Error,U3_Abaqus,U3_Completed,U3_Error,ErrorMagnitude,IsMeasuredNode,IsFixedNode
82,0.215455085,0.201606636,-0.013848449,0.973389268,1.224172332,0.250783064,-5.809143066,-6.158201648,-0.349058582,0.43003002,0,0
83,0.031623505,-0.030790303,-0.062413808,-0.599580526,-0.567032639,0.032547887,-2.990505457,-2.667468748,0.323036709,0.330616944,0,0
84,1.365287423,1.309296736,-0.055990687,0.926639915,1.304841034,0.378201119,-8.547964096,-8.966846607,-0.418882511,0.567127501,0,0
85,2.434475183,-1.97332389,-4.407799074,6.706526279,-6.929721292,-13.63624757,-13.06851196,-0.543833428,12.52467853,19.03269589,0,0
86,-7.039503574,-2.979646489,4.059857086,-18.84380913,-9.861960041,8.981849087,-2.116910696,-0.713020326,1.40389037,9.956252344,0,0
87,-9.204019547,-5.276323618,3.927695928,-25.60650635,-13.38232081,12.22418553,-1.696538091,-1.915443866,-0.218905775,12.8415508,0,0
88,0.674944699,0.672160302,-0.002784396,-1.505418062,-1.397839349,0.107578714,5.727235317,5.851251155,0.124015837,0.164197626,0,0
89,1.146100521,1.137002253,-0.009098268,-1.847526312,-1.750890195,0.096636116,6.187184334,6.217123703,0.029939369,0.101575998,0,0
90,2.552023172,2.174308152,-0.377715021,-0.167751387,-0.500523606,-0.332772219,11.2843132,10.25227765,-1.03203555,1.148261017,0,0
91,2.933278561,-0.264457965,-3.197736525,0.285065353,-3.976446403,-4.261511756,13.70379829,6.175947226,-7.527851068,9.222501994,0,0
92,2.455125093,-2.305743822,-4.760868915,-1.503929377,-6.623695029,-5.119765653,9.806087494,1.589102083,-8.216985411,10.78873127,0,0
93,0.401495695,-2.309662331,-2.711158027,-3.847019196,-5.576371729,-1.729352533,3.79998517,0.22181411,-3.57817106,4.810857113,0,0
94,-0.138359353,0.182393715,0.320753067,-2.910944223,-1.957910823,0.9530334,0.744694829,0.701592315,-0.043102514,1.006485479,0,0
95,-0.631084859,-0.118273948,0.512810911,-2.663873196,-2.029794129,0.634079067,-0.275590241,-0.215512171,0.06007807,0.817704512,0,0
96,-0.736184537,-0.148397139,0.587787398,-2.980109453,-2.120017055,0.860092398,-1.142947793,-1.068300561,0.074647232,1.04442576,0,0
97,0.627449095,1.033280743,0.405831648,-2.212998152,-1.268853011,0.944145141,-2.488891363,-1.981482052,0.507409311,1.146112377,0,0
98,1.848509669,-0.959049791,-2.80755946,-1.835720181,-3.685555424,-1.849835242,-5.258236885,-1.645187489,3.613049396,4.935423638,0,0
99,2.869169712,-0.2815999,-3.150769612,1.139142871,-2.875421365,-4.014564236,-10.92821121,-3.831395694,7.096815518,8.741216486,0,0
100,-5.227768421,-4.339224628,0.888543793,-13.01587105,-9.349812173,3.666058874,1.101603031,-0.358726695,-1.460329727,4.045004407,0,0
101,-9.65097332,-4.225597164,5.425376156,-21.6093502,-10.05566932,11.55368088,-2.026465416,-0.803182178,1.223283238,12.82258438,0,0
102,1.291430712,-0.127958211,-1.419388923,-2.551033735,-2.776865981,-0.225832246,-5.10286665,-2.258871147,2.843995503,3.186530329,0,0
103,-13.10389233,-6.661884636,6.442007691,-29.46003723,-15.5552195,13.90481773,-2.237608194,-1.904136492,0.333471702,15.3282296,0,0
104,-2.627812386,-0.362034943,2.265777442,-7.868709564,-2.614746983,5.253962582,-6.946690083,-3.479744097,3.466945986,6.690110963,0,0
105,-10.46788216,-0.869854664,9.598027492,-22.81508827,-4.16585573,18.64923254,-1.737785935,-2.803666833,-1.065880898,21.00124064,0,0
106,-11.34094143,-5.845445056,5.495496374,-23.66354561,-13.32024331,10.3433023,-1.826459169,-1.628199074,0.198260096,11.71425157,0,0
107,-0.327965677,-1.42820168,-1.100236003,-4.900620937,-4.497615156,0.403005781,-7.38960743,-2.425168863,4.964438566,5.100841421,0,0
108,-6.247097492,-3.215376736,3.031720756,-14.23606873,-7.8491172,6.386951525,-0.807679832,-0.561427093,0.246252739,7.074257625,0,0
109,-10.51114559,-3.463078153,7.048067439,-25.10115814,-9.737473393,15.36368475,-2.603425503,-0.364489624,2.238935879,17.05083275,0,0
110,-0.481061816,-1.67474389,-1.193682074,-0.470540434,-6.942769977,-6.472229543,8.748149872,1.897279708,-6.850870164,9.499950218,0,0
111,-0.022486135,0.004693438,0.027179574,2.263492584,1.775838402,-0.487654182,4.506968975,3.843396449,-0.663572526,0.823938,0,0
112,1.46309042,1.46309,-4.20E-07,2.367634535,2.367635,4.65E-07,13.88370705,13.883707,-4.65E-08,6.28E-07,1,0
113,0.035840038,0.03584,-3.82E-08,2.491903782,2.491904,2.18E-07,8.872431755,8.872432,2.45E-07,3.30E-07,1,0
114,0.293172657,-0.364101897,-0.657274554,-2.913379431,-2.694098822,0.219280608,2.12680316,1.194396323,-0.932406836,1.161669632,0,0
115,-1.958823919,-3.441337659,-1.48251374,-7.358285427,-7.422744919,-0.064459492,2.886308193,-0.214086787,-3.10039498,3.437215595,0,0
116,2.959223986,2.959224,1.43E-08,-0.629833341,-0.629833,3.41E-07,9.990889549,9.99089,4.51E-07,5.65E-07,1,0
117,0.979799688,0.5762466,-0.403553088,-1.151477218,-0.985333922,0.166143296,1.06426847,0.781719493,-0.282548977,0.519896734,0,0
118,1.784308672,1.494664867,-0.289643805,-0.039853591,-0.418663165,-0.378809573,11.05822563,9.840907252,-1.217318379,1.307384512,0,0
