NodeID,U1_Measured,U1_Predicted,U1_Error,U2_Measured,U2_Predicted,U2_Error,U3_Measured,U3_Predicted,U3_Error
112,13.883707,0.478674250860556,-13.4050327491394,1.46309,-0.374631408631954,-1.83772140863195,2.367635,-0.512157305199124,-2.87979230519912
113,8.872432,0.217518789939655,-8.65491321006034,0.03584,-0.349352724149341,-0.385192724149341,2.491904,-0.462688299346574,-2.95459229934657
116,9.99089,0.331719065875878,-9.65917093412412,2.959224,-0.576676906402189,-3.53590090640219,-0.629833,-0.92385561064789,-0.29402261064789
124,5.775821,0.415436363623702,-5.3603846363763,2.257718,-0.30333144930716,-2.56104944930716,-1.780323,-0.463425596868763,1.31689740313124
131,-5.11474,0.474101067218197,5.5888410672182,2.033559,-0.280409792117454,-2.31396879211745,-1.246151,0.388027320228724,1.63417832022872
133,-7.328127,0.350976971043746,7.67910397104375,2.171199,-0.562786308512655,-2.73398530851265,-0.548781,0.908824548141761,1.45760554814176
138,-4.450568,0.18509713198223,4.63566513198223,0.017698,-0.464975844856054,-0.482673844856054,0.830875,0.624706416745669,-0.206168583254331
139,-7.992837,0.399075394826312,8.39191239482631,0.756621,-0.565785439494431,-1.32240643949443,0.466033,0.747144190811671,0.281111190811672
143,-0.750862,0.150024328508749,0.900886328508749,0.044246,-0.222957057832013,-0.267203057832013,-0.434256,-0.0958968813473585,0.338359118652641
147,-0.998251,1.45390715374419,2.45215815374419,-3.900079,-0.22102150568314,3.67905749431686,-7.44504,0.00078298747083635,7.44582298747084
148,-1.592608,1.24773095553976,2.84033895553976,-6.554801,-0.319824177383737,6.23497682261626,-14.338407,0.00212612345455259,14.3405331234546
149,-2.172851,0.360492676377089,2.53334367637709,-11.507624,-1.37040073791056,10.1372232620894,-29.300049,0.0180930555201725,29.3181420555202
150,-1.173124,-0.0592743641748293,1.11384963582517,-2.804745,-2.10764890830181,0.697096091698187,-7.631829,0.00516257869361953,7.63699157869362
155,0.766577,0.000798637225109251,-0.765778362774891,-0.028248,-0.0164957809146339,0.0117522190853661,-0.15726,-1.18976903231242,-1.03250903231242
158,-0.492629,-0.00423000100051119,0.488398998999489,-0.02872,-0.0611315611692654,-0.0324115611692654,-0.150949,0.908586505085165,1.05953550508517
160,0.772733,0.145606174462442,-0.627126825537558,-0.019218,-0.284895251808709,-0.265677251808709,-0.382009,0.185044158649065,0.567053158649065
