NodeID,U1_Abaqus,U1_MATLAB,U1_Error,U2_Abaqus,U2_MATLAB,U2_Error,U3_Abaqus,U3_MATLAB,U3_Error,Magnitude_Abaqus,Magnitude_MATLAB,Magnitude_Error
44,0.0006433553062379,-0.0777786838839454,-0.0784220391901833,0.0004968870780431,-1.64192173252367,-1.64241861960171,0.0008348220726475,-0.996549842948317,-0.997384665020965,0.00116521702329229,1.92225598942507,1.92313938867263
45,-0.000654214003589,-0.0215916579539421,-0.0209374439503531,-0.001129540149122,-2.36603628907429,-2.36490674892517,0.001904739998281,2.21295107907657,2.21104633907829,0.00230908886187215,3.23971393788029,3.23758370103732
46,-0.0007570672896691,-0.406725794175044,-0.405968726885374,-0.0006775602232665,-1.29454898440745,-1.29387142418418,0.003926138859242,-12.3885394733266,-12.3924656121858,0.00405546607423733,12.4626318740003,12.4664396608951
47,0.0009811812778935,-0.0904872755863041,-0.0914684568641976,0.002236017258838,-1.66724219964431,-1.66947821690315,0.003106030868366,-1.26445074946332,-1.26755678033168,0.00395093882984191,2.09444985548381,2.09814779905517
48,0.000637442979496,0.0140624642098941,0.0134250212303981,0.007075498811901,-1.90257903192786,-1.90965453073976,0.01077887788415,-2.00144990853577,-2.01222878641992,0.0129094239000328,2.76148627771515,2.77417110987533
49,-0.001163804088719,-0.0801988612198136,-0.0790350571310946,-0.003318776842207,-1.80844786934596,-1.80512909250375,0.004604161251336,1.47354461778738,1.46894045653604,0.00579370524911239,2.33414851586034,2.32863128161318
50,-0.000736597343348,-0.0072630785566061,-0.0065264812132581,-0.006737040355802,-1.78394203997844,-1.77720499962264,0.009837581776083,1.82003953898707,1.81020195721099,0.0119460580780043,2.5485379882962,2.53679548476641
51,0.002088065957651,0.40169523804694,0.399607172089289,-0.01008590124547,-1.90637057868434,-1.89628467743887,0.01997559890151,2.74612899115531,2.7261533922538,0.0224746518293584,3.36702127756962,3.34477111144718
52,0.008777121081948,0.674934942718526,0.666157821636578,-0.01028177049011,-1.31607353277741,-1.3057917622873,0.03050868958235,2.24572312444854,2.21521443486619,0.0333696388792367,2.68902567341083,2.65631951433266
53,-0.002472757827491,0.295923561018903,0.298396318846394,0.0104086054489,-1.77929225296138,-1.78970085841028,0.02128466404974,-2.50932292962087,-2.53060759367061,0.0238220595745746,3.09033222170943,3.11384718938468
54,-0.009170453995466,0.734128730208105,0.743299184203571,0.01046924944967,-1.342966442336,-1.35343569178567,0.03106875903904,-2.3853568957874,-2.41642565482644,0.0340436513721473,2.83415443792996,2.86764621150177
55,-0.01816616207361,0.626586909279678,0.644753071353288,0.007178891915828,-0.731436353233958,-0.738615245149785,0.03314537554979,-1.26788576134969,-1.30103113689948,0.038472871662516,1.59221374116233,1.62909208535587
56,-0.02082895860076,-0.383429139440075,-0.362600180839315,0.0018539018929,-0.646593290489022,-0.648447192381922,0.02700838446617,-0.312078590684436,-0.339086975150606,0.0341575072289113,0.813937242691819,0.816665555273081
57,-0.008807108737528,-1.9614962057945,-1.95268909705697,4.15705544583e-05,-0.877630608979878,-0.877672179534336,0.02135279774666,0.0424866443964243,0.0211338466497643,0.023097810806122,2.149304065533,2.14096936081952
58,0.008480401709676,-1.95442063085957,-1.96290103256925,0.0002333653246751,-0.88799247902764,-0.888225844352315,0.02121266908944,-0.0541551643621016,-0.0753678334515416,0.0228462032388386,2.14737593983128,2.15583068086434
59,0.01850440166891,-0.485745836498038,-0.504250238166948,-0.001871877117082,-0.666609715429021,-0.664737838311939,0.0268873590976,0.253176964452566,0.226289605354966,0.0326932238286332,0.862795517900362,0.864495044443147
60,0.01762424595654,0.568784833180066,0.551160587223526,-0.006933683995157,-0.724056135619748,-0.717122451624591,0.03360133245587,1.21648499892891,1.18288366647304,0.0385712271271114,1.52565042739264,1.48904545664037
61,-0.0009092314285226,-0.36085301716995,-0.359943785741427,0.006003519054502,-1.3203185192726,-1.3263220383271,0.01993124559522,-1.76364055365814,-1.78357179925336,0.0208356303913599,2.2324613982872,2.25162564413756
62,0.001654661260545,-0.332792370271833,-0.334447031532378,0.03584403172135,-1.31311255053179,-1.34895658225314,0.04346804693341,0.231959258847577,0.188491211914167,0.0563649147797939,1.3743436360097,1.40252187671842
63,-0.004100747872144,-1.93846931353587,-1.93436856566372,-0.03004960715771,-10.5620169494219,-10.5319673422642,0.0314858481288,0.0571679498509873,0.0256821017221873,0.0437167434266718,10.7385815401237,10.7081640544351
64,-0.001280469354242,-0.320545954802227,-0.319265485447985,-0.03158209100366,-1.35007041068521,-1.31848831968155,0.04007963091135,-0.0891989351264623,-0.129278566037812,0.051043558730957,1.39046620705988,1.36273799645119
65,0.001077055814676,-0.379896239338887,-0.380973295153563,-0.006436976138502,-1.55167207397122,-1.54523509783272,0.02380223758519,1.97740025617195,1.95359801858676,0.0246807865575107,2.54206985563239,2.51980899621784
66,0.001037564128637,-0.556628719778548,-0.557666283907185,0.0003727099392563,-1.41752223740188,-1.41789494734113,0.01190561614931,11.1751847448002,11.1632791286509,0.0119565525095893,11.2784732524233,11.2667749897686
67,0.001567884231918,-0.625225369954522,-0.62679325418644,0.002004729583859,-1.01755558066528,-1.01956031024914,0.009469427168369,7.40621868293759,7.39674925576922,0.00980547054282157,7.50189318122243,7.49294818896083
68,-0.003096938831732,-0.630259911536496,-0.627162972704764,0.01031926833093,-2.43122194027851,-2.44154120860944,0.03492097556591,-1.54489410569324,-1.57981508125915,0.0365452166977856,2.94868877245248,2.97494076556892
69,0.00556090194732,-1.79796833496064,-1.80352923690796,0.002326383255422,-1.49823996618494,-1.50056634944036,0.03915320336819,0.00104216850585522,-0.0381110348623348,0.0396145052160147,2.34038762086757,2.34645893389014
70,0.002039909129962,-0.336912897127911,-0.338952806257873,-0.01095684152097,-2.31281701585125,-2.30186017433028,0.03168882802129,1.9283330840619,1.89664425604061,0.0335915975615488,3.03003322294491,3.00178425290856
71,-0.001934304251336,-0.750343410398293,-0.748409106146957,-0.003849322674796,-1.62338759457219,-1.61953827189739,0.009713289327919,-2.48288416051042,-2.49259744983833,0.0106257615049134,3.05992095817074,3.06529973269249
72,-0.001190655981191,-0.597681411681265,-0.596490755700074,-0.001332242973149,-1.07370622312462,-1.07237398015148,0.003640165086836,-10.1841432616883,-10.1877834267751,0.0040550382075229,10.2580135551693,10.2614189236097
73,-0.001079539884813,-0.548035921919386,-0.546956382034573,0.0003175016609021,-1.57801737977292,-1.57833488143383,0.0203190613538,-6.16004472946809,-6.18036379082189,0.0203501957722049,6.38252562013088,6.40212455898051
74,-0.0005079047405161,-0.722033311046595,-0.721525406306079,-0.001231832895428,-1.7643169926762,-1.76308515978077,0.0339073240757,-1.71595323974638,-1.74986056382208,0.0339334938590509,2.56488636666481,2.58671223474975
75,-0.001839887700044,-0.342148795796255,-0.340308908096211,0.005355319008231,-0.773842818620778,-0.779198137629009,0.03194008395076,-0.645715516656585,-0.677655600607345,0.0324381502433522,1.06435287139504,1.08727963452308
76,-0.001923763775267,-0.270842623560586,-0.268918859785319,0.007566300220788,-1.12674842802528,-1.13431472824607,0.04482935369015,1.10427624331384,1.05944688962369,0.0455040736458912,1.60073226004287,1.57525076346514
77,0.007826928980649,-0.597460536645382,-0.605287465626031,0.0607063062489,-2.4955319432969,-2.5562382495458,0.08622020483017,0.126124531259232,0.0399043264290623,0.105737600486345,2.56915281177457,2.62722653377145
