NodeID,X,Y,Z,U1_Interpolated,U2_Interpolated,U3_Interpolated,U_Magnitude,IsMeasuredNode,IsFixedAnchor
7,10.312744967552,-3.3435787600887,8.696246690073,0,0,0,0,0,1
8,12.782398274315,-3.3435896104061,8.421323067363,0,0,0,0,0,1
9,15.239182217551,-3.3430934061617,8.04796460126,0,0,0,0,0,1
10,17.707956777222,-3.3435255119312,7.780026390772,0,0,0,0,0,1
11,20.19272278083,-3.3432897586999,7.777286549074,0,0,0,0,0,1
12,22.676635591442,-3.3080002668852,7.745106730184,0,0,0,0,0,1
13,25.132403397042,-3.2120056181077,7.397060346408,0,0,0,0,0,1
14,27.429128498188,-3.1222279050356,6.476090723632,0,0,0,0,0,1
15,29.200680530988,-3.0529789915352,4.763358762979,0,0,0,0,0,1
16,30.180745754188,-3.0146689189496,2.491621103161,0,0,0,0,0,1
17,30.51228461246,-3.0017662564652,0.034721747776,0,0,0,0,0,1
18,30.18077596629,-3.0146680914026,-2.4224472454579,0,0,0,0,0,1
19,29.20072966945,-3.0529777509529,-4.6942255951501,0,0,0,0,0,1
20,27.429171841548,-3.1222271373552,-6.4070047766191,0,0,0,0,0,1
21,25.132412775975,-3.2120063105588,-7.327998451261,0,0,0,0,0,1
22,22.676600061344,-3.3080027648722,-7.6760487413424,0,0,0,0,0,1
23,20.19267148142,-3.3434648067526,-7.7080524553956,0,0,0,0,0,1
24,17.70790382462,-3.3438091948009,-7.7106787615162,0,0,0,0,0,1
25,15.239038691245,-3.3438095747513,-7.9782743163925,0,0,0,0,0,1
26,12.782385645802,-3.3433284467167,-8.3524583898694,0,0,0,0,0,1
27,10.312744143487,-3.3435435277666,-8.6272096464507,0,0,0,0,0,1
28,10.312744140598,-1.0344910744893,-9.5458561690637,0,0,0,0,0,1
29,10.31274414063,1.441228007181,-9.8268722358449,0,0,0,0,0,1
30,10.312744140627,3.924721513293,-9.6217578073564,0,0,0,0,0,1
31,10.312744140383,6.308438099984,-8.9005470883921,0,0,0,0,0,1
32,10.312744140625,8.445301342666,-7.6226922452179,0,0,0,0,0,1
33,10.312744137179,10.19809192298,-5.8554331836703,0,0,0,0,0,1
34,10.312744140651,11.35882976307,-3.6581977438476,0,0,0,0,0,1
35,10.312744140639,11.82388646346,-1.2125136469771,0,0,0,0,0,1
36,10.31274414064,11.82379366388,1.280831410364,0,0,0,0,0,1
37,10.312744140652,11.3588557941,3.727178812075,0,0,0,0,0,1
38,10.31274413718,10.19808578538,5.924500170208,0,0,0,0,0,1
39,10.312742427756,8.445252473438,7.69178923014,0,0,0,0,0,1
40,10.312661965828,6.308417996532,8.969615205704,0,0,0,0,0,1
41,10.312743010296,3.924623444604,9.690834721805,0,0,0,0,0,1
42,10.312745417721,1.441102301229,9.895929285108,0,0,0,0,0,1
43,10.312755623951,-1.0346907618356,9.614869206794,0,0,0,0,0,1
