NodeID,Pressure_Reference,Pressure_Reconstructed,Pressure_Error,Pressure_RelativeError
112,-269.739875,-0.0748936542789643,269.664981345721,0.999722348598705
113,-237.621821,-0.0748936542789643,237.546927345721,0.999684819963235
116,-597.603062,-0.0748936542789643,597.528168345721,0.999874676588791
124,-285.894055,-0.0748936542789643,285.819161345721,0.999738037035156
131,-353.338104,-0.0748936542789643,353.263210345721,0.999788039689376
133,-424.768234,-0.0748936542789643,424.693340345721,0.999823683485995
138,-422.98511,-0.0748936542789643,422.910216345721,0.999822940211113
139,-586.723741,-0.0748936542789643,586.648847345721,0.999872352780286
143,-81.041873,-0.0748936542789643,80.966979345721,0.999075864716516
147,748.127713,-0.0748936542789643,-748.202606654279,1.00010010811387
148,1721.73879,-0.0748936542789643,-1721.81368365428,1.00004349884821
149,5211.728809,-0.0748936542789643,-5211.80370265428,1.00001437021323
150,1437.259783,-0.0748936542789643,-1437.33467665428,1.00005210864115
155,35.201775,-0.0748936542789643,-35.276668654279,1.00212755334863
158,46.281712,-0.0748936542789643,-46.356605654279,1.00161821270309
160,-9.418593,-0.0748936542789643,9.34369934572103,0.992048318227684
