NodeID,U1_Abaqus,U1_Interpolated,U1_Error,U2_Abaqus,U2_Interpolated,U2_Error,U3_Abaqus,U3_Interpolated,U3_Error,ErrorMagnitude,IsMeasuredNode
44,-0.005330252926797,0.0139521589177084,0.0192824118445054,-0.217876419425,-0.123156147133386,0.0947202722916136,-0.3738446831703,-0.403941803129111,-0.0300971199588114,0.101240199621265,0
45,-0.03050663135946,0.0499735679391967,0.0804801992986567,0.002706603147089,-0.0742814896699976,-0.0769880928170866,-0.005233228672296,0.775373303393166,0.780606532065462,0.788511754394335,0
46,-0.04165612906218,0.087721942292543,0.129378071354723,-0.1820655465126,0.0857645124738482,0.267830058986448,1.415749549866,1.52613736008262,0.110387810216624,0.317265022478958,0
47,0.0418544895947,0.1529017748451,0.1110472852504,-0.2971167564392,-0.261871007301286,0.0352457491379138,-0.3706529140472,-0.867469952368391,-0.496817038321191,0.510294946045927,0
48,0.193249180913,0.393218943860362,0.199969762947362,-0.9525334239006,-0.316952780874292,0.635580643026308,-1.356682300568,-1.51330034598522,-0.156618045417219,0.684455894878019,0
49,0.02401670441031,0.277273705111289,0.253257000700979,-0.1609231829643,-0.250897429756403,-0.0899742467921029,0.1790127307177,1.57064124600662,1.39162851528892,1.41734413536554,0
50,0.207292214036,0.576590618740246,0.369298404704246,-1.153845071793,-0.352494214084871,0.801350857708129,1.546430826187,2.18344390774347,0.637013081556474,1.08826934852578,0
51,0.8839631080627,0.809409160597906,-0.0745539474647939,-1.674731135368,-0.625256908266701,1.0494742271013,2.975669622421,2.51094558617166,-0.464724036249337,1.15018384369644,0
52,1.708419680595,0.586047500247611,-1.12237218034739,-1.395886778831,-0.960241097772906,0.435645681058094,3.234705686569,2.09696188887973,-1.13774379768927,1.65649250521175,0
53,0.6871156692505,0.792260505313532,0.105144836063032,-1.277220129967,-0.533094803337806,0.744125326629194,-2.333742380142,-2.42628155850659,-0.0925391783645888,0.757193131119215,0
54,1.450580477715,0.526908767755588,-0.923671709959412,-1.201225876808,-0.795559632672167,0.405666244135833,-2.942923069,-1.91684370013431,1.02607936886569,1.43894871368733,0
55,1.886435389519,0.00855512085124495,-1.87788026866776,-0.7341534495354,-1.02163250778898,-0.287479058253579,-2.164356470108,-1.11436524091628,1.04999122919172,2.17061283829373,0
