NodeID,MeasuredDisplacementMagnitude,UnitPressureDisplacementMagnitude,FittedDisplacementMagnitude
112,14.1599310698596,10.6130177340484,6.48448757514958
113,9.21579728756226,8.26808512286486,5.05174838985639
116,10.4389453146458,15.2010901072684,9.28777115043135
124,6.45189497557841,9.24455811627707,5.64836729240817
131,5.64347586057405,8.99636287748537,5.49672155106612
133,7.66268301652176,15.0227847713045,9.17882770337282
138,4.52749621838086,10.6878329741286,6.53019921974391
139,8.04208339942449,13.6009643986196,8.3101043325269
143,0.868521574341133,3.80980563224725,2.32776745550753
147,8.46379004151462,19.6359912743303,11.9974680750458
148,15.845874279727,17.1986546061305,10.5082705878227
149,31.5537567176395,18.9220055384247,11.5612272480414
150,8.21508541158532,28.1531003390174,17.201368538622
155,0.783051054550723,15.887643095404,9.70725073981945
158,0.516036598161409,12.1592482610163,7.42922477353128
160,0.862216038411488,4.93506335202886,3.01529289696193
