NodeID,X,Y,Z,U1,U2,U3,UR1,UR2,UR3,FX_from_KU,FY_from_KU,FZ_from_KU,MX_from_KU,MY_from_KU,MZ_from_KU,ForceMagnitude,MomentMagnitude,IsFixedNode,IsExteriorSurfaceNode
2,7.74475,-3.34361,6.27268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3,7.74475,-3.34361,0.0345294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
6,15.133863449097,-3.343611240387,5.626212120056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
7,10.312744967552,-3.3435787600887,8.696246690073,-4.58405645595806e-38,-7.17184946405011e-38,-2.57602434306927e-38,2.63431919996426e-39,-1.19720214559284e-39,-5.96831232835976e-40,-0.020080465628599,-0.0246711231303458,0.0451724855128937,0.00323114835034854,-0.00381088918919921,0.000644769539067063,0.0552489173087276,0.00503774987795387,1,1
8,12.782398274315,-3.3435896104061,8.421323067363,-8.36787283737476e-38,-8.48124685144881e-38,-4.23913945065068e-38,-3.23018774075524e-39,2.00195804456533e-39,1.35053362485772e-39,-0.0412875055709991,0.00028918051502359,0.0409932984565557,-0.00458071777987637,0.00519781359442798,-0.000705790541752005,0.0581824050722708,0.00696407795979643,1,1
9,15.239182217551,-3.3430934061617,8.04796460126,-1.61507775544528e-37,-1.28628011058079e-37,-4.85147016554086e-38,7.3463366264906e-39,-4.27380757465808e-39,-3.59053724605023e-39,-0.112993331230063,0.035032833629073,0.0773625238784397,0.0109368654875457,-0.0115467868000168,0.000806955384558598,0.141349752158931,0.0159246503600669,1,1
10,17.707956777222,-3.3435255119312,7.780026390772,7.13681307880629e-38,5.1236707106778e-38,3.72384248870176e-38,1.90336899045852e-38,8.09329036510816e-39,5.21083063437973e-39,0.0341298105463118,-0.020988049342526,-0.0127835736249343,0.0138228749262381,-0.0110746026080745,-0.00255928979836701,0.0420566515280943,0.0178960514758205,1,1
11,20.19272278083,-3.3432897586999,7.777286549074,3.01563128950646e-37,1.03760747876374e-37,9.03737008363646e-38,2.61681642162546e-38,2.12072369461071e-39,8.66686284603327e-40,0.211189451633736,-0.19951487039878,-0.00827062197968394,0.0253014815525792,-0.0240795746664928,-0.000811009346627277,0.290646815189039,0.0349377821424747,1,1
12,22.676635591442,-3.3080002668852,7.745106730184,7.36730672169759e-37,-3.07537301509184e-37,-3.13724157543443e-37,1.50965653054582e-38,1.30694973937106e-38,5.35528348657465e-39,1.05045401242198,-1.03895937844649,0.00623387241499543,0.00974130700211033,-0.00224602224181974,-0.00745694401414613,1.47747388587435,0.0124717156819029,1,1
13,25.132403397042,-3.2120056181077,7.397060346408,4.44573394823293e-37,-3.04959567021469e-36,-1.19024946313224e-36,3.32247865891414e-42,-5.00272239814439e-39,-1.89092475944609e-39,1.63481657877095,-3.4425104332483,1.86643411007598,0.00189423727901215,-0.00492140329062665,0.00311114202866727,4.24347494590258,0.00612270772948784,1,1
14,27.429128498188,-3.1222279050356,6.476090723632,3.79607000781202e-37,-5.89898314288923e-36,-8.32249049741301e-37,3.8704547418302e-38,-2.27163681298587e-38,-3.70963752616889e-38,1.21184405376959,-6.17873385238169,5.07231382960102,0.0758008756248235,-0.0610310497477219,-0.0137283589809584,8.08539953342974,0.098280362326911,1,1
15,29.200680530988,-3.0529789915352,4.763358762979,2.48220628984395e-37,-5.23752865476872e-36,4.43364242404396e-37,1.0336500157187e-38,-1.4859382928685e-39,-1.57290483738235e-38,-0.195154428404647,-5.39710254171159,5.68434181974239,0.0260655454087027,-0.0117958195883754,-0.0140684132200264,7.8408254042765,0.0318821935842573,1,1
16,30.180745754188,-3.0146689189496,2.491621103161,5.51993392615915e-37,-3.69066196072331e-36,1.14749820116711e-37,7.83388479598928e-39,-8.87004411686805e-39,-3.22065442704275e-38,0.437236039892603,-4.18013589902296,3.81422210968168,0.0400404127784068,-0.016552741353705,-0.0232051626726834,5.67564990030798,0.0491498471661261,1,1
17,30.51228461246,-3.0017662564652,0.034721747776,6.4680304947614e-37,-3.71178376610724e-36,-5.9615536977105e-37,3.48203050206216e-40,-5.22725945757547e-39,-8.57796447145651e-40,1.24295080846451,-4.29569644812124,3.12604135618446,0.00120598841767924,-0.00548697594134663,0.00437460857003896,5.45619549202918,0.00712028884144116,1,1
18,30.18077596629,-3.0146680914026,-2.4224472454579,2.9590038096282e-37,-3.94603746272112e-36,-1.33149514671628e-36,-1.2030818538193e-38,8.61045217505341e-39,-4.14895944849845e-38,1.62738758493646,-4.17513441331117,2.61898610239985,0.0294587903463845,0.020493871353581,-0.0503022755241848,5.19030114014438,0.0617910836176253,1,1
19,29.20072966945,-3.0529777509529,-4.6942255951501,-2.70321706576747e-37,-5.23989915851329e-36,-1.26899364788333e-36,-4.09630509818206e-39,4.35436401947672e-39,-3.39924319008832e-39,0.998661330601042,-4.88096487151851,3.96558535288616,-0.000697054411230106,0.00837641159015941,-0.0078222797690631,6.36765339204803,0.011482082422865,1,1
20,27.429171841548,-3.1222271373552,-6.4070047766191,-1.29351215590323e-37,-5.08659522317102e-36,4.16503705024709e-37,-1.94695637919135e-38,4.90626401835259e-39,-1.75907098174391e-38,-0.545865516492026,-4.87120517599588,5.50018222203615,-0.00187884372480791,0.024290031672743,-0.0228256314473762,7.36740208651236,0.0333848040787505,1,1
21,25.132412775975,-3.2120063105588,-7.327998451261,4.89159707574201e-37,-2.29174260972084e-36,9.51813484752903e-37,1.48061041597729e-38,-3.3740660605798e-39,5.90849930470852e-39,-0.462658308472108,-2.7420591679796,3.25150179900192,0.00889759578579112,-0.0181209703403625,0.00953256856185602,4.27845826671384,0.0223250227375049,1,1
22,22.676600061344,-3.3080027648722,-7.6760487413424,3.88578987960051e-37,-2.69493214083088e-37,2.34567789256866e-37,-1.72216918798438e-39,-8.30395036584704e-39,4.35553690629136e-39,0.154010729290274,-0.653457352962849,0.510595876533388,-0.00607772371664898,-0.00644153790983083,0.0126291544900046,0.843465450395353,0.0154249045167906,1,1
23,20.19267148142,-3.3434648067526,-7.7080524553956,2.74165008638494e-37,2.10550564934008e-37,-1.20694621459437e-37,4.29217719622691e-39,6.09721637279453e-39,-3.90001541319483e-39,0.394860140263835,-0.0671373388934162,-0.326576471527502,0.0081922051004645,0.00170249728380847,-0.00992373477596016,0.516792167508582,0.0129804173011908,1,1
24,17.70790382462,-3.3438091948009,-7.7106787615162,6.26328453406136e-38,3.31396593889918e-37,-2.43755845448527e-37,4.15689444118253e-39,-7.11551894734241e-39,4.77566580407444e-39,0.306389436791433,0.26316581196017,-0.574044934447224,-0.000618785968465951,-0.0111514332403398,0.0119604862577872,0.701896230454719,0.0163643084458599,1,1
25,15.239038691245,-3.3438095747513,-7.9782743163925,-9.55322560315327e-38,1.10677478623568e-37,-5.54861278842615e-38,1.61447968126071e-38,-1.61955070014341e-39,3.17034388853779e-39,-0.040045932427367,0.204323654194191,-0.16776383999777,0.012974449029788,-0.0177346356539728,0.00506280174628105,0.267388366198012,0.0225496250728893,1,1
