Node_ID,U1,U2,U3,Pressure_Stress
112,13.883707,1.46309,2.367635,-269.739875
113,8.872432,0.03584,2.491904,-237.621821
116,9.99089,2.959224,-0.629833,-597.603062
124,5.775821,2.257718,-1.780323,-285.894055
131,-5.11474,2.033559,-1.246151,-353.338104
133,-7.328127,2.171199,-0.548781,-424.768234
138,-4.450568,0.017698,0.830875,-422.98511
139,-7.992837,0.756621,0.466033,-586.723741
143,-0.750862,0.044246,-0.434256,-81.041873
147,-0.998251,-3.900079,-7.44504,748.127713
148,-1.592608,-6.554801,-14.338407,1721.73879
149,-2.172851,-11.507624,-29.300049,5211.728809
150,-1.173124,-2.804745,-7.631829,1437.259783
155,0.766577,-0.028248,-0.15726,35.201775
158,-0.492629,-0.02872,-0.150949,46.281712
160,0.772733,-0.019218,-0.382009,-9.418593
