NodeID,X,Y,Z,U1_Completed,U2_Completed,U3_Completed,UR1_Completed,UR2_Completed,UR3_Completed,U_Magnitude,IsMeasuredNode,IsFixedNode
7,10.312744967552,-3.3435787600887,8.696246690073,0,0,0,0,0,0,0,0,1
8,12.782398274315,-3.3435896104061,8.421323067363,0,0,0,0,0,0,0,0,1
9,15.239182217551,-3.3430934061617,8.04796460126,0,0,0,0,0,0,0,0,1
10,17.707956777222,-3.3435255119312,7.780026390772,0,0,0,0,0,0,0,0,1
11,20.19272278083,-3.3432897586999,7.777286549074,0,0,0,0,0,0,0,0,1
12,22.676635591442,-3.3080002668852,7.745106730184,0,0,0,0,0,0,0,0,1
13,25.132403397042,-3.2120056181077,7.397060346408,0,0,0,0,0,0,0,0,1
14,27.429128498188,-3.1222279050356,6.476090723632,0,0,0,0,0,0,0,0,1
15,29.200680530988,-3.0529789915352,4.763358762979,0,0,0,0,0,0,0,0,1
16,30.180745754188,-3.0146689189496,2.491621103161,0,0,0,0,0,0,0,0,1
17,30.51228461246,-3.0017662564652,0.034721747776,0,0,0,0,0,0,0,0,1
18,30.18077596629,-3.0146680914026,-2.4224472454579,0,0,0,0,0,0,0,0,1
19,29.20072966945,-3.0529777509529,-4.6942255951501,0,0,0,0,0,0,0,0,1
20,27.429171841548,-3.1222271373552,-6.4070047766191,0,0,0,0,0,0,0,0,1
21,25.132412775975,-3.2120063105588,-7.327998451261,0,0,0,0,0,0,0,0,1
22,22.676600061344,-3.3080027648722,-7.6760487413424,0,0,0,0,0,0,0,0,1
23,20.19267148142,-3.3434648067526,-7.7080524553956,0,0,0,0,0,0,0,0,1
24,17.70790382462,-3.3438091948009,-7.7106787615162,0,0,0,0,0,0,0,0,1
25,15.239038691245,-3.3438095747513,-7.9782743163925,0,0,0,0,0,0,0,0,1
26,12.782385645802,-3.3433284467167,-8.3524583898694,0,0,0,0,0,0,0,0,1
27,10.312744143487,-3.3435435277666,-8.6272096464507,0,0,0,0,0,0,0,0,1
28,10.312744140598,-1.0344910744893,-9.5458561690637,0,0,0,0,0,0,0,0,1
29,10.31274414063,1.441228007181,-9.8268722358449,0,0,0,0,0,0,0,0,1
30,10.312744140627,3.924721513293,-9.6217578073564,0,0,0,0,0,0,0,0,1
31,10.312744140383,6.308438099984,-8.9005470883921,0,0,0,0,0,0,0,0,1
32,10.312744140625,8.445301342666,-7.6226922452179,0,0,0,0,0,0,0,0,1
33,10.312744137179,10.19809192298,-5.8554331836703,0,0,0,0,0,0,0,0,1
34,10.312744140651,11.35882976307,-3.6581977438476,0,0,0,0,0,0,0,0,1
35,10.312744140639,11.82388646346,-1.2125136469771,0,0,0,0,0,0,0,0,1
36,10.31274414064,11.82379366388,1.280831410364,0,0,0,0,0,0,0,0,1
37,10.312744140652,11.3588557941,3.727178812075,0,0,0,0,0,0,0,0,1
38,10.31274413718,10.19808578538,5.924500170208,0,0,0,0,0,0,0,0,1
39,10.312742427756,8.445252473438,7.69178923014,0,0,0,0,0,0,0,0,1
40,10.312661965828,6.308417996532,8.969615205704,0,0,0,0,0,0,0,0,1
41,10.312743010296,3.924623444604,9.690834721805,0,0,0,0,0,0,0,0,1
42,10.312745417721,1.441102301229,9.895929285108,0,0,0,0,0,0,0,0,1
43,10.312755623951,-1.0346907618356,9.614869206794,0,0,0,0,0,0,0,0,1
44,14.059468711656,-1.3213382053299,-9.3228367104515,-0.0051582977905935,-0.218171664206977,-0.385247890720172,-0.712942949028651,0.638797849193851,1.04833926820734,0.442765649529499,0,0
45,14.055859827227,-1.3082343524453,9.396771506921,-0.0297541463807019,-0.0122385574070574,0.023840406041436,0.237278711566755,-0.612860898621647,0.784313285729436,0.0400431826216475,0,0
46,12.438589825994,2.454488555049,9.862116025511,-0.0450919386316542,-0.174713541352693,1.56517365973953,-1.86128823712884,-2.82451859175982,-17.820719445853,1.57554012630717,0,0
47,18.851618670862,-1.7551139607917,-8.9401954001253,0.0366458733869392,-0.282462449507822,-0.354382013747191,-0.677432067468849,1.24768623791917,1.00215884923859,0.454658736950874,0,0
48,21.422384684284,-1.5261818649078,-8.9113734708596,0.17006435532415,-0.89666577456877,-1.26130225211376,-0.664924567667693,0.515858586269953,1.33111131184655,1.55686054848277,0,0
49,18.758591711762,-1.6180512367974,9.08544869941,0.0183102538197273,-0.213972978084764,0.262324628908618,0.234670752932693,1.75325993686271,-3.5495236726355,0.339019043237175,0,0
50,21.372984584044,-1.6879999910574,8.917118887271,0.198590574347504,-1.14817240978139,1.54535307956127,1.65530368043447,-1.68290419188516,2.52321802935173,1.93542094628336,0,0
51,23.992312649158,-1.3807503514847,8.516404667641,0.868039767091014,-1.66681957004582,2.97558243930616,2.79189032748932,1.28320277949175,-5.25327289675574,3.51935666982566,0,0
52,26.376736019175,-1.0990085341073,7.570497333826,1.68253108692614,-1.36841636163329,3.21779996661861,4.65438828254613,-0.148148940601383,-0.432334646197487,3.88042662891972,0,0
53,23.975904377591,-1.2183761995184,-8.4837637315993,0.64699063264826,-1.23848506094951,-2.2718831000508,-2.23003959620683,0.757527474268894,-0.0441213091076218,2.66718858448857,0,0
54,26.347576404538,-1.0982992856336,-7.5175564131394,1.37617025821978,-1.14101845888102,-2.77343897818913,-2.530515262432,-0.440080398450511,-2.25830026938559,3.29965626525774,0,0
