Node_ID,U1,U2,U3,RF1,RF2,RF3
44,-5.330252926797e-03,-2.178764194250e-01,-3.738446831703e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
45,-3.050663135946e-02,2.706603147089e-03,-5.233228672296e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
46,-4.165612906218e-02,-1.820655465126e-01,1.415749549866e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
47,4.185448959470e-02,-2.971167564392e-01,-3.706529140472e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
48,1.932491809130e-01,-9.525334239006e-01,-1.356682300568e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
49,2.401670441031e-02,-1.609231829643e-01,1.790127307177e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
50,2.072922140360e-01,-1.153845071793e+00,1.546430826187e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
51,8.839631080627e-01,-1.674731135368e+00,2.975669622421e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
52,1.708419680595e+00,-1.395886778831e+00,3.234705686569e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
53,6.871156692505e-01,-1.277220129967e+00,-2.333742380142e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
54,1.450580477715e+00,-1.201225876808e+00,-2.942923069000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
55,1.886435389519e+00,-7.341534495354e-01,-2.164356470108e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
56,2.012374877930e+00,-3.582733273506e-01,-1.253775835037e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
57,1.817460060120e+00,-2.075913101435e-01,-4.910807013512e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
58,1.763912677765e+00,-2.024213671684e-01,1.447615027428e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
59,1.686532139778e+00,-3.682583868504e-01,8.592966794968e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
60,1.840000152588e+00,-7.454492449760e-01,1.927660107613e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
61,-1.127587109804e-01,1.142145514488e+00,4.241898059845e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
62,-3.723097145557e-01,-1.086915254593e+00,1.744729638100e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
63,-5.113688707352e-01,-9.934245347977e-01,-5.652180314064e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
64,9.808902628720e-03,1.676496505737e+00,-3.336876869202e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
65,-4.855139181018e-02,4.174536764622e-01,-2.339215993881e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
66,-6.178404763341e-02,-1.459520459175e-01,-6.778875589371e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
67,-7.023110985756e-02,-3.494310379028e-01,-7.324492335320e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
68,9.016035795212e-01,-1.437360286713e+00,-3.596105813980e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
69,6.284396648407e-01,-1.165108442307e+00,-3.760380744934e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
70,1.078331351280e+00,-1.980811476707e+00,4.590981006622e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
71,1.133788824081e-01,-9.191288352013e-01,3.365595579147e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
72,-1.672540791333e-03,-4.272880256176e-01,2.105010747910e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
73,3.650668263435e-02,-3.207485675812e-01,3.088063716888e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
74,2.343960702419e-01,-6.483346223831e-01,5.339187622070e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
75,-9.010954201221e-02,9.485601782799e-01,6.788487911224e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
76,3.175775408745e-01,1.538987159729e+00,1.048507785797e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
77,-7.187592983246e-01,-1.001284480095e+00,5.342341899872e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
78,-3.779506921768e+00,-1.164617824554e+01,-7.068222761154e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
79,-3.241120576859e+00,-1.056723213196e+01,-1.536078333855e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
